#,Entry Time,Exit Time,Side,Qty,Entry Price,Exit Price,Commission,PnL,PnL%,Hold Hours
1,2025-06-06 18:00,2025-06-08 07:00,LONG,3010.1394169835235,3.156000,3.154000,19.0000,-6.02,-0.06%,37.0
2,2025-06-08 08:00,2025-06-08 16:00,SHORT,2973.403343072677,3.187000,3.187000,18.9525,0.00,0.00%,8.0
3,2025-06-08 17:00,2025-06-11 07:00,LONG,2968.7296851492047,3.185000,3.297000,18.9108,332.50,3.52%,62.0
4,2025-06-11 08:00,2025-06-15 21:00,SHORT,2959.939722536665,3.295000,3.009000,19.5060,846.54,8.68%,109.0
5,2025-06-15 22:00,2025-06-17 03:00,LONG,3494.753363372312,3.015000,2.972000,21.0734,-150.27,-1.43%,29.0
6,2025-06-17 04:00,2025-06-19 16:00,SHORT,3459.215172123772,2.998000,2.976000,20.7415,76.10,0.73%,60.0
7,2025-06-19 17:00,2025-06-20 20:00,LONG,3508.452208279519,2.970000,2.921000,20.8402,-171.91,-1.65%,27.0
8,2025-06-20 21:00,2025-06-23 14:00,SHORT,3482.0237180046706,2.940000,2.923000,20.4743,59.19,0.58%,65.0
9,2025-06-23 15:00,2025-06-25 11:00,LONG,3534.1453503381535,2.908000,2.849000,20.5546,-208.51,-2.03%,44.0
10,2025-06-25 12:00,2025-06-27 13:00,SHORT,3522.4225097489293,2.855000,2.852000,20.1130,10.57,0.11%,49.0
11,2025-06-27 14:00,2025-07-01 03:00,LONG,3525.4237991178943,2.850000,2.829000,20.0949,-74.03,-0.74%,85.0
12,2025-07-01 04:00,2025-07-02 15:00,SHORT,3543.6714403429905,2.812000,2.865000,19.9296,-187.81,-1.88%,35.0
13,2025-07-02 16:00,2025-07-03 22:00,LONG,3404.4277640301752,2.868000,2.811000,19.5278,-194.05,-1.99%,30.0
14,2025-07-03 23:00,2025-07-06 01:00,SHORT,3422.040803796699,2.794000,2.983000,19.1224,-646.77,-6.76%,50.0
15,2025-07-06 02:00,2025-07-07 08:00,LONG,3014.1707988686435,2.962000,2.759000,17.8559,-611.88,-6.85%,30.0
16,2025-07-07 09:00,2025-07-08 20:00,SHORT,3013.804628897092,2.765000,2.817000,16.6663,-156.72,-1.88%,35.0
17,2025-07-08 21:00,2025-07-13 19:00,LONG,2905.836337839331,2.811000,3.023000,16.3366,616.04,7.54%,118.0
18,2025-07-13 20:00,2025-07-13 21:00,LONG,2866.57909886437,3.049000,3.025000,17.4804,-68.80,-0.79%,1.0
19,2025-07-13 22:00,2025-07-13 23:00,SHORT,2869.8378016603174,3.017000,3.047000,17.3166,-86.10,-0.99%,1.0
20,2025-07-14 00:00,2025-07-15 00:00,LONG,2826.9411191063577,3.028000,2.975000,17.1200,-149.83,-1.75%,24.0
21,2025-07-15 01:00,2025-07-15 15:00,SHORT,2826.0344712284245,2.971000,3.096000,16.7923,-353.25,-4.21%,14.0
22,2025-07-15 16:00,2025-07-18 21:00,LONG,2580.013904468592,3.120000,3.206000,16.0993,221.88,2.76%,77.0
23,2025-07-18 22:00,2025-07-20 05:00,SHORT,2583.806144899845,3.191000,3.294000,16.4899,-266.13,-3.23%,31.0
24,2025-07-20 06:00,2025-07-22 02:00,LONG,2434.744058897216,3.278000,3.258000,15.9622,-48.69,-0.61%,44.0
25,2025-07-22 03:00,2025-07-22 08:00,SHORT,2435.334701451972,3.252000,3.483000,15.8394,-562.56,-7.10%,5.0
26,2025-07-22 09:00,2025-07-23 02:00,LONG,2168.194283211124,3.399000,3.283000,14.7394,-251.51,-3.41%,17.0
27,2025-07-23 03:00,2025-07-25 16:00,SHORT,2159.312944870976,3.295000,3.194000,14.2299,218.09,3.07%,61.0
28,2025-07-25 17:00,2025-07-28 13:00,LONG,2293.244804404284,3.188000,3.221000,14.6217,75.68,1.04%,68.0
29,2025-07-28 14:00,2025-07-29 17:00,SHORT,2299.192997583748,3.204000,3.376000,14.7332,-395.46,-5.37%,27.0
30,2025-07-29 18:00,2025-08-02 19:00,LONG,2055.6308715314062,3.396000,3.567000,13.9618,351.51,5.04%,97.0
31,2025-08-02 20:00,2025-08-02 22:00,SHORT,2048.0125859251293,3.566000,3.636000,14.6064,-143.36,-1.96%,2.0
32,2025-08-02 23:00,2025-08-03 00:00,SHORT,1977.06128997605,3.618000,3.633000,14.3060,-29.66,-0.41%,1.0
33,2025-08-03 01:00,2025-08-03 20:00,LONG,1921.443082673244,3.700000,3.541000,14.2187,-305.51,-4.30%,19.0
34,2025-08-03 21:00,2025-08-06 23:00,SHORT,1921.968673010126,3.543000,3.259000,13.6191,545.84,8.02%,74.0
35,2025-08-07 00:00,2025-08-10 05:00,LONG,2248.897198612015,3.253000,3.297000,14.6313,98.95,1.35%,77.0
36,2025-08-10 06:00,2025-08-11 07:00,SHORT,2228.2821495220933,3.319000,3.391000,14.7913,-160.44,-2.17%,25.0
37,2025-08-11 08:00,2025-08-11 13:00,LONG,2124.944139811933,3.401000,3.379000,14.4539,-46.75,-0.65%,5.0
38,2025-08-11 14:00,2025-08-11 16:00,SHORT,2127.282934444652,3.369000,3.410000,14.3336,-87.22,-1.22%,2.0
39,2025-08-11 17:00,2025-08-14 12:00,LONG,2079.470045649626,3.401000,3.469000,14.1446,141.40,2.00%,67.0
40,2025-08-14 13:00,2025-08-16 04:00,SHORT,2113.19480772007,3.402000,3.477000,14.3782,-158.49,-2.20%,39.0
41,2025-08-16 05:00,2025-08-17 22:00,LONG,2020.9155348541367,3.477000,3.348000,14.0534,-260.70,-3.71%,41.0
42,2025-08-17 23:00,2025-08-20 17:00,SHORT,2018.4835933151394,3.352000,3.290000,13.5319,125.15,1.85%,66.0
43,2025-08-20 18:00,2025-08-24 06:00,LONG,2104.079808933643,3.267000,3.327000,13.7481,126.24,1.84%,84.0
44,2025-08-24 07:00,2025-08-27 05:00,SHORT,2093.843331249331,3.333000,3.179000,13.9576,322.45,4.62%,70.0
45,2025-08-27 06:00,2025-08-28 01:00,LONG,2280.47948181237,3.188000,3.163000,14.5403,-57.01,-0.78%,19.0
46,2025-08-28 02:00,2025-08-28 05:00,SHORT,2266.9951868064954,3.177000,3.185000,14.4045,-18.14,-0.25%,3.0
47,2025-08-28 06:00,2025-08-28 19:00,LONG,2245.9752338631642,3.192000,3.163000,14.3383,-65.13,-0.91%,13.0
48,2025-08-28 20:00,2025-08-30 14:00,SHORT,2258.387213547515,3.142000,3.128000,14.1917,31.62,0.45%,42.0
49,2025-08-30 15:00,2025-09-01 06:00,LONG,2273.1104469783418,3.128000,3.117000,14.2206,-25.00,-0.35%,39.0
50,2025-09-01 07:00,2025-09-02 12:00,SHORT,2277.2214030821056,3.106000,3.176000,14.1461,-159.41,-2.25%,29.0
51,2025-09-02 13:00,2025-09-04 07:00,LONG,2173.7057060384045,3.177000,3.100000,13.8117,-167.38,-2.42%,42.0
52,2025-09-04 08:00,2025-09-07 06:00,SHORT,2168.6265922744437,3.108000,3.093000,13.4802,32.53,0.48%,70.0
53,2025-09-07 07:00,2025-09-09 18:00,LONG,2186.5000700484957,3.089000,3.111000,13.5082,48.10,0.71%,59.0
54,2025-09-09 19:00,2025-09-09 23:00,SHORT,2178.8191986319043,3.114000,3.112000,13.5697,4.36,0.06%,4.0
55,2025-09-10 00:00,2025-09-14 07:00,LONG,2180.176142560289,3.109000,3.160000,13.5563,111.19,1.64%,103.0
56,2025-09-14 08:00,2025-09-16 10:00,SHORT,2165.3996260009962,3.173000,3.175000,13.7416,-4.33,-0.06%,50.0
57,2025-09-16 11:00,2025-09-16 20:00,LONG,2157.2987746388067,3.176000,3.136000,13.7032,-86.29,-1.26%,9.0
